phase,total_norm,mean_norm,max_norm,total_drift,mean_drift,max_drift
118,26.010953903198242,6.5027384757995605,6.541317462921143,3.9456077218055725,0.9864019304513931,1.1831709146499634
119,26.010709762573242,6.5026774406433105,6.541255950927734,3.9456596970558167,0.9864149242639542,1.1831812858581543
120,26.010465145111084,6.502616286277771,6.541194915771484,3.945703387260437,0.9864258468151093,1.1831892728805542
121,26.010218620300293,6.502554655075073,6.541132926940918,3.9457390308380127,0.9864347577095032,1.1831949949264526
122,26.009970664978027,6.502492666244507,6.541069984436035,3.9457680583000183,0.9864420145750046,1.1831989288330078
123,26.009721755981445,6.502430438995361,6.541007041931152,3.945790708065033,0.9864476770162582,1.1832010746002197
124,26.009471893310547,6.502367973327637,6.5409440994262695,3.94580739736557,0.9864518493413925,1.1832014322280884
125,26.00922155380249,6.502305388450623,6.5408806800842285,3.9458191990852356,0.9864547997713089,1.1832005977630615
126,26.008970260620117,6.502242565155029,6.5408172607421875,3.945826232433319,0.9864565581083298,1.18319833278656
127,26.008718967437744,6.502179741859436,6.540753364562988,3.945829153060913,0.9864572882652283,1.183194875717163
128,26.00846576690674,6.502116441726685,6.540689468383789,3.945828437805176,0.986457109451294,1.1831904649734497
129,26.008212089538574,6.5020530223846436,6.540625095367432,3.94582462310791,0.9864561557769775,1.1831852197647095
130,26.00795841217041,6.5019896030426025,6.540560722351074,3.9458173513412476,0.9864543378353119,1.1831789016723633
131,26.007704734802246,6.5019261837005615,6.540496349334717,3.9458072781562805,0.9864518195390701,1.1831718683242798
132,26.00744915008545,6.501862287521362,6.540431022644043,3.9457951188087463,0.9864487797021866,1.1831642389297485
133,26.00719451904297,6.501798629760742,6.540366172790527,3.945780336856842,0.9864450842142105,1.18315589427948
134,26.006938934326172,6.501734733581543,6.540301322937012,3.945763349533081,0.9864408373832703,1.1831468343734741
135,26.006685256958008,6.501671314239502,6.540236949920654,3.9457443952560425,0.9864360988140106,1.1831371784210205
136,26.006428241729736,6.501607060432434,6.5401716232299805,3.94572377204895,0.9864309430122375,1.1831270456314087
137,26.00617218017578,6.501543045043945,6.540106296539307,3.945701539516449,0.9864253848791122,1.1831164360046387
138,26.005915641784668,6.501478910446167,6.540040969848633,3.9456783533096313,0.9864195883274078,1.1831055879592896
139,26.005659103393555,6.501414775848389,6.539975643157959,3.9456538558006287,0.9864134639501572,1.1830943822860718
140,26.0054030418396,6.5013507604599,6.539910316467285,3.9456281065940857,0.9864070266485214,1.1830826997756958
141,26.00514507293701,6.501286268234253,6.539844512939453,3.9456016421318054,0.9864004105329514,1.1830708980560303
142,26.00488805770874,6.501222014427185,6.539778709411621,3.945574402809143,0.9863936007022858,1.183058738708496
143,26.00463104248047,6.501157760620117,6.539713382720947,3.945546269416809,0.9863865673542023,1.1830463409423828
144,26.00437355041504,6.50109338760376,6.539647579193115,3.945517599582672,0.986379399895668,1.18303382396698
145,26.004117012023926,6.5010292530059814,6.539582252502441,3.9454882740974426,0.9863720685243607,1.183021068572998
146,26.004889488220215,6.501222372055054,6.539896488189697,3.949638783931732,0.987409695982933,1.183917760848999
147,26.00563621520996,6.50140905380249,6.540193557739258,3.953875780105591,0.9884689450263977,1.1848313808441162
148,26.006344318389893,6.501586079597473,6.540471076965332,3.958098828792572,0.989524707198143,1.1857408285140991
149,26.0088152885437,6.502203822135925,6.541463375091553,3.971237897872925,0.9928094744682312,1.1887977123260498
150,26.011128425598145,6.502782106399536,6.542378902435303,3.983780562877655,0.9959451407194138,1.1916923522949219
151,26.012101650238037,6.503025412559509,6.542816162109375,3.990164339542389,0.9975410848855972,1.1922403573989868
152,26.013099193572998,6.5032747983932495,6.543234825134277,3.9968753457069397,0.9992188364267349,1.1929004192352295
153,26.01408863067627,6.503522157669067,6.543631076812744,4.0037020444869995,1.0009255111217499,1.193630576133728
154,26.015052795410156,6.503763198852539,6.544003009796143,4.01048731803894,1.002621829509735,1.194399118423462
155,26.01597547531128,6.50399386882782,6.544349193572998,4.017116606235504,1.004279151558876,1.1951816082000732
156,26.016847610473633,6.504211902618408,6.544668674468994,4.0235095620155334,1.0058773905038834,1.1959600448608398
157,26.017661094665527,6.504415273666382,6.544961929321289,4.02961128950119,1.0074028223752975,1.1967211961746216
158,26.018412113189697,6.504603028297424,6.545228958129883,4.035387217998505,1.0088468044996262,1.197455644607544
159,26.019099712371826,6.5047749280929565,6.54547119140625,4.04081803560257,1.0102045089006424,1.1981568336486816
160,26.019723892211914,6.5049309730529785,6.545689582824707,4.045895636081696,1.011473909020424,1.19882071018219
161,26.02028465270996,6.50507116317749,6.54588508605957,4.050621569156647,1.0126553922891617,1.1994450092315674
162,26.020784378051758,6.5051960945129395,6.5460591316223145,4.055002391338348,1.013750597834587,1.200028657913208
163,26.021226406097412,6.505306601524353,6.546213150024414,4.059049725532532,1.014762431383133,1.2005716562271118
164,26.0216121673584,6.5054030418396,6.5463480949401855,4.062778055667877,1.0156945139169693,1.2010746002197266
165,26.02194595336914,6.505486488342285,6.54646635055542,4.066203415393829,1.0165508538484573,1.2015386819839478
166,26.023532390594482,6.505883097648621,6.546690940856934,4.077762067317963,1.0194405168294907,1.2032803297042847
167,26.025022506713867,6.506255626678467,6.546906471252441,4.088702440261841,1.0221756100654602,1.2049493789672852
168,26.026411533355713,6.506602883338928,6.547109603881836,4.098987638950348,1.024746909737587,1.2065346240997314
169,26.027694702148438,6.506923675537109,6.547298431396484,4.108602583408356,1.027150645852089,1.2080291509628296
170,26.028873920440674,6.5072184801101685,6.547472953796387,4.117548704147339,1.0293871760368347,1.2094295024871826
171,26.032320499420166,6.5080801248550415,6.548175811767578,4.137370765209198,1.0343426913022995,1.2132506370544434
172,26.035521030426025,6.508880257606506,6.548834323883057,4.155878484249115,1.0389696210622787,1.2168526649475098
173,26.04014825820923,6.510037064552307,6.550217151641846,4.179126739501953,1.0447816848754883,1.222999930381775
174,26.044486045837402,6.511121511459351,6.551509857177734,4.2011449337005615,1.0502862334251404,1.2287958860397339
175,26.04852819442749,6.512132048606873,6.552712440490723,4.2218486070632935,1.0554621517658234,1.2342259883880615
176,26.052276134490967,6.513069033622742,6.553825378417969,4.241202414035797,1.0603006035089493,1.2392867803573608
177,26.055734157562256,6.513933539390564,6.554851055145264,4.259206533432007,1.0648016333580017,1.2439827919006348
178,26.058913230895996,6.514728307723999,6.555793285369873,4.275887608528137,1.0689719021320343,1.2483246326446533
179,26.063454151153564,6.515863537788391,6.557641506195068,4.3000712394714355,1.0750178098678589,1.2569981813430786
180,26.067688941955566,6.516922235488892,6.559349060058594,4.322753369808197,1.0806883424520493,1.2650150060653687
181,26.071619033813477,6.517904758453369,6.560921669006348,4.343910753726959,1.0859776884317398,1.272400975227356
182,26.075247764587402,6.518811941146851,6.5623650550842285,4.36355721950531,1.0908893048763275,1.279187560081482
183,26.078585147857666,6.5196462869644165,6.563686370849609,4.381731390953064,1.095432847738266,1.285408854484558
184,26.081643104553223,6.520410776138306,6.564892292022705,4.398490309715271,1.0996225774288177,1.2911008596420288
185,26.084436416625977,6.521109104156494,6.565990924835205,4.413902223110199,1.1034755557775497,1.2962998151779175
186,26.089094638824463,6.522273659706116,6.567785739898682,4.438271343708038,1.1095678359270096,1.3054907321929932
